"Variable","Missing_Before","Missing_After"
"Community_ID",0,0
"Region",0,0
"Dominant_Spice_Type",0,0
"Altitude_Meters",0,0
"Avg_Annual_Rainfall_MM",0,0
"Soil_Organic_Matter_Percent",0,0
"Avg_Temperature_Celsius",0,0
"Water_Source_Reliability_Index",0,0
"Organic_Certification_Status",12,0
"Traditional_Methods_Adherence_Score",0,0
"Post_Harvest_Processing_Tech_Level",0,0
"Avg_Farm_Size_Hectares",0,0
"Access_To_Electricity_Percent",0,0
"Storage_Capacity_Index",0,0
"Artisan_Skills_Training_Hours_Avg",23,0
"Cooperative_Membership_Rate_Percent",14,0
"Avg_Literacy_Rate_Percent",0,0
"Youth_Engagement_Rate_Percent",0,0
"Distance_To_Major_Market_KM",0,0
"Road_Infrastructure_Quality_Score",0,0
"Online_Sales_Channel_Usage_Percent",27,0
"Local_Demand_Index",0,0
"Export_Potential_Score",0,0
